Gr1  , 0, 55, 89, 84, 99, 85, 94, 94, 88, 84, 93,
Gr2  , 55, 0, 79, 79, 88, 76, 85, 89, 82, 75, 85,
Tr1  , 89, 79, 0, 49, 89, 80, 83, 84, 74, 75, 76,
Tr2  , 84, 79, 49, 0, 94, 74, 84, 82, 77, 79, 82,
Ship1, 99, 88, 89, 94, 0, 91, 68, 98, 84, 90, 88,
Ship2, 85, 76, 80, 74, 91, 0, 78, 86, 74, 81, 86,
Ship3, 94, 85, 83, 84, 68, 78, 0, 92, 83, 85, 85,
Feod1, 94, 89, 84, 82, 98, 86, 92, 0, 67, 74, 77,
Feod2, 88, 82, 74, 77, 84, 74, 83, 67, 0, 71, 71,
Feod3, 84, 75, 75, 79, 90, 81, 85, 74, 71, 0, 69,
Feod3, 93, 85, 76, 82, 88, 86, 85, 77, 71, 69, 0,
